agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
lewiston-transit-system-and-asotin-county-public-transportation-benefit-area-ptba,Lewiston Transit System and Asotin County Public Transportation Benefit Area (PTBA),C,78.7,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
muckleshoot-tribal-transit,Muckleshoot Tribal Transit,C,78.8,2026-07-04,current,89,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
grant-transit-authority,Grant Transit Authority,C,79.1,2026-07-04,current,271,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
pahto-public-passage,Pahto Public Passage,C,79.3,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
colville-confederated-tribes-transit,Colville Confederated Tribes Transit,C,79.4,2026-07-04,current,240,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
makah-public-transit-2196,Makah Public Transit,B,80.2,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
skamania-county-transit,Skamania County Transit,B,80.2,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
rivercities-transit-rct,RiverCities Transit (RCT),B,80.3,2026-07-04,current,149,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
rivercities-transit-rct-259,RiverCities Transit (RCT),B,80.3,2026-07-04,current,149,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
snoqualmie-valley-transportation,Snoqualmie Valley Transportation,B,81.7,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
the-moccasin-express,The Moccasin Express,B,82.2,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
spokane-transit-authority-sta,Spokane Transit Authority (STA),B,82.4,2026-07-04,current,77,no,,"Use mixed case for stop names and headsigns (e.g. 'Main St & 2nd Ave', not 'MAIN ST & 2ND AVE')."
mount-adams-transportation-service,Mount Adams Transportation Service,B,82.5,2026-07-04,current,181,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
mount-adams-transportation-service-580,Mount Adams Transportation Service,B,82.5,2026-07-04,current,181,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
squaxin-island-transit-2197,Squaxin Island Transit,B,83.1,2026-07-04,current,89,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
union-gap,Union Gap,B,83.1,2026-07-04,current,271,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
union-gap-277,Union Gap,B,83.1,2026-07-04,current,271,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
wahkiakum-ferry-2193,Wahkiakum Ferry,B,83.1,2026-07-04,current,150,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
people-for-people-community-connector,People for People (Community Connector),B,83.6,2026-07-04,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
pacific-transit,Pacific Transit,B,83.7,2026-07-04,current,212,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
pacific-transit-242,Pacific Transit,B,83.7,2026-07-04,current,212,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
pacific-transit-3112,Pacific Transit,B,83.7,2026-07-04,current,212,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
c-tran,Clark County Public Transportation Benefit Area,B,84.1,2026-07-04,current,70,no,,Check the vehicle positions endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.
ben-franklin-transit-2024,Ben Franklin Transit,B,84.8,2026-07-04,current,161,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
ben-franklin-transit-2122,Ben Franklin Transit,B,87.9,2026-07-04,current,161,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
city-of-ellensburg-public-transit-central-transit-2456,City of Ellensburg Public Transit (Central Transit),A,92.3,2026-07-04,current,120,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
whatcom-transportation-authority,Whatcom Transportation Authority,A,94.2,2026-07-04,current,77,no,,Review the flagged fields and fill in the ones your riders would use.
grays-harbor-transit,Grays Harbor Transit,A,95.0,2026-07-04,current,118,no,,Review the rule documentation for 'equal_shape_distance_same_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
grays-harbor-transit-263,Grays Harbor Transit,A,95.0,2026-07-04,current,118,no,,Review the rule documentation for 'equal_shape_distance_same_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
jefferson-transit-authority,Jefferson Transit Authority,A,98.0,2026-07-04,current,333,no,,"Use mixed case for stop names and headsigns (e.g. 'Main St & 2nd Ave', not 'MAIN ST & 2ND AVE')."
jefferson-transit-authority-838,Jefferson Transit Authority,A,98.0,2026-07-04,current,333,no,,"Use mixed case for stop names and headsigns (e.g. 'Main St & 2nd Ave', not 'MAIN ST & 2ND AVE')."
black-ball-ferry-line,Black Ball Ferry Line,A,98.2,2026-07-04,current,183,no,,Remove past service periods the next time you export the feed.
black-ball-ferry-line-286,Black Ball Ferry Line,A,98.2,2026-07-04,current,183,no,,Remove past service periods the next time you export the feed.
